IQ-TREE multicore version 1.6.12 for Linux 64-bit built Mar 23 2020
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    marjan-VirtualBox (AVX2, 5 GB RAM)
Command: iqtree -s genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa
Seed:    900550 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Sun Jan 15 12:10:55 2023
Kernel:  AVX+FMA - 1 threads (3 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 3 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 6 sequences with 918 columns, 313 distinct patterns
128 parsimony-informative, 182 singleton sites, 608 constant sites
                             Gap/Ambiguity  Composition  p-value
   1  NC_002163.1_977                5.99%    passed    100.00%
   2  NC_009714.1_1143               4.68%    passed     99.97%
   3  Campylobacter_stinkeris_306    3.05%    passed    100.00%
   4  Campylobacter_noahi_763        2.72%    passed     99.99%
   5  NZ_CP012196.1_1629             0.44%    passed     99.20%
   6  Campyloabacter_freddy_1214     3.81%    passed    100.00%
****  TOTAL                          3.45%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 546 protein models (sample size: 918) ...
 No. Model         -LnL         df  AIC          AICc         BIC
 45  mtMAM+F+R3    5381.820     32  10827.641    10830.027    10981.951
 46  mtMAM+F+R4    5381.787     34  10831.574    10834.269    10995.529
 53  JTT           5561.181     9   11140.362    11140.561    11183.762
 54  JTT+I         5412.121     10  10844.242    10844.485    10892.464
 55  JTT+G4        5399.423     10  10818.845    10819.088    10867.067
 56  JTT+I+G4      5398.165     11  10818.330    10818.621    10871.374
 57  JTT+R2        5399.448     11  10820.896    10821.187    10873.940
 58  JTT+R3        5396.945     13  10819.890    10820.292    10882.578
 66  JTT+F         5463.965     28  10983.931    10985.758    11118.952
 67  JTT+F+I       5314.642     29  10687.284    10689.243    10827.127
 68  JTT+F+G4      5297.333     29  10652.665    10654.625    10792.509
 69  JTT+F+I+G4    5295.731     30  10651.462    10653.559    10796.128
 70  JTT+F+R2      5296.465     30  10652.930    10655.027    10797.596
 71  JTT+F+R3      5293.391     32  10650.781    10653.168    10805.092
 79  WAG           5528.179     9   11074.358    11074.556    11117.757
 80  WAG+I         5404.782     10  10829.564    10829.807    10877.786
 81  WAG+G4        5397.315     10  10814.630    10814.873    10862.852
 82  WAG+I+G4      5396.673     11  10815.347    10815.638    10868.391
 83  WAG+R2        5397.787     11  10817.575    10817.866    10870.619
 84  WAG+R3        5395.653     13  10817.305    10817.708    10879.994
 92  WAG+F         5425.449     28  10906.898    10908.725    11041.919
 93  WAG+F+I       5298.325     29  10654.650    10656.610    10794.494
 94  WAG+F+G4      5287.080     29  10632.160    10634.119    10772.004
 95  WAG+F+I+G4    5285.953     30  10631.905    10634.002    10776.571
 96  WAG+F+R2      5287.142     30  10634.283    10636.380    10778.949
 97  WAG+F+R3      5283.902     32  10631.804    10634.190    10786.114
105  cpREV         5539.279     9   11096.559    11096.757    11139.958
106  cpREV+I       5413.251     10  10846.502    10846.744    10894.724
107  cpREV+G4      5403.358     10  10826.716    10826.958    10874.938
108  cpREV+I+G4    5402.987     11  10827.974    10828.265    10881.018
109  cpREV+R2      5403.620     11  10829.240    10829.532    10882.285
110  cpREV+R3      5402.574     13  10831.148    10831.551    10893.837
118  cpREV+F       5434.743     28  10925.486    10927.312    11060.507
119  cpREV+F+I     5311.202     29  10680.403    10682.363    10820.247
120  cpREV+F+G4    5297.777     29  10653.554    10655.514    10793.398
121  cpREV+F+I+G4  5296.680     30  10653.360    10655.457    10798.026
122  cpREV+F+R2    5297.918     30  10655.837    10657.934    10800.503
123  cpREV+F+R3    5294.448     32  10652.896    10655.282    10807.206
131  mtREV         5998.881     9   12015.762    12015.960    12059.162
132  mtREV+I       5799.287     10  11618.574    11618.817    11666.796
133  mtREV+G4      5754.160     10  11528.321    11528.563    11576.543
134  mtREV+I+G4    5753.134     11  11528.268    11528.560    11581.313
135  mtREV+R2      5753.517     11  11529.034    11529.326    11582.079
136  mtREV+R3      5750.735     13  11527.470    11527.873    11590.159
144  mtREV+F       5542.833     28  11141.665    11143.492    11276.687
145  mtREV+F+I     5375.199     29  10808.398    10810.357    10948.241
146  mtREV+F+G4    5341.378     29  10740.756    10742.715    10880.600
147  mtREV+F+I+G4  5339.424     30  10738.847    10740.944    10883.513
148  mtREV+F+R2    5339.210     30  10738.419    10740.516    10883.085
149  mtREV+F+R3    5334.258     32  10732.515    10734.902    10886.826
157  rtREV         5597.846     9   11213.692    11213.890    11257.092
158  rtREV+I       5443.934     10  10907.867    10908.110    10956.089
159  rtREV+G4      5430.087     10  10880.174    10880.416    10928.396
160  rtREV+I+G4    5429.307     11  10880.615    10880.906    10933.659
161  rtREV+R2      5430.014     11  10882.028    10882.319    10935.072
162  rtREV+R3      5428.451     13  10882.902    10883.304    10945.590
170  rtREV+F       5451.481     28  10958.962    10960.789    11093.984
171  rtREV+F+I     5295.362     29  10648.724    10650.684    10788.568
172  rtREV+F+G4    5278.422     29  10614.845    10616.804    10754.688
173  rtREV+F+I+G4  5277.174     30  10614.347    10616.444    10759.013
174  rtREV+F+R2    5277.804     30  10615.607    10617.704    10760.273
175  rtREV+F+R3    5275.310     32  10614.621    10617.007    10768.931
183  mtART         6040.576     9   12099.152    12099.350    12142.552
184  mtART+I       5775.562     10  11571.123    11571.366    11619.345
185  mtART+G4      5703.343     10  11426.686    11426.929    11474.908
186  mtART+I+G4    5703.981     11  11429.962    11430.253    11483.006
187  mtART+R2      5710.444     11  11442.889    11443.180    11495.933
188  mtART+R3      5703.079     13  11432.157    11432.560    11494.846
189  mtART+R4      5700.966     15  11431.933    11432.465    11504.266
196  mtART+F       5582.819     28  11221.639    11223.466    11356.660
197  mtART+F+I     5374.662     29  10807.324    10809.283    10947.168
198  mtART+F+G4    5329.576     29  10717.152    10719.111    10856.996
199  mtART+F+I+G4  5326.838     30  10713.677    10715.773    10858.342
200  mtART+F+R2    5328.865     30  10717.730    10719.827    10862.396
201  mtART+F+R3    5324.804     32  10713.608    10715.994    10867.918
209  mtZOA         5958.273     9   11934.545    11934.743    11977.945
210  mtZOA+I       5729.032     10  11478.064    11478.307    11526.286
211  mtZOA+G4      5674.157     10  11368.315    11368.557    11416.537
212  mtZOA+I+G4    5674.507     11  11371.014    11371.305    11424.058
213  mtZOA+R2      5674.261     11  11370.523    11370.814    11423.567
214  mtZOA+R3      5672.841     13  11371.681    11372.084    11434.370
222  mtZOA+F       5523.651     28  11103.301    11105.128    11238.323
223  mtZOA+F+I     5345.741     29  10749.482    10751.441    10889.326
224  mtZOA+F+G4    5312.357     29  10682.714    10684.673    10822.557
225  mtZOA+F+I+G4  5309.924     30  10679.849    10681.946    10824.515
226  mtZOA+F+R2    5310.887     30  10681.773    10683.870    10826.439
227  mtZOA+F+R3    5306.980     32  10677.960    10680.347    10832.271
235  VT            5516.902     9   11051.803    11052.002    11095.203
236  VT+I          5390.360     10  10800.720    10800.962    10848.942
237  VT+G4         5384.572     10  10789.143    10789.386    10837.365
238  VT+I+G4       5384.507     11  10791.014    10791.306    10844.058
239  VT+R2         5384.741     11  10791.483    10791.774    10844.527
240  VT+R3         5384.489     13  10794.978    10795.380    10857.666
248  VT+F          5430.735     28  10917.471    10919.298    11052.492
249  VT+F+I        5303.863     29  10665.725    10667.685    10805.569
250  VT+F+G4       5295.778     29  10649.557    10651.516    10789.400
251  VT+F+I+G4     5295.416     30  10650.833    10652.930    10795.499
252  VT+F+R2       5295.849     30  10651.697    10653.794    10796.363
253  VT+F+R3       5295.395     32  10654.789    10657.176    10809.100
261  LG            5536.537     9   11091.074    11091.272    11134.474
262  LG+I          5380.807     10  10781.614    10781.857    10829.836
263  LG+G4         5365.329     10  10750.658    10750.901    10798.880
264  LG+I+G4       5363.715     11  10749.429    10749.721    10802.474
265  LG+R2         5365.005     11  10752.010    10752.302    10805.055
266  LG+R3         5363.071     13  10752.141    10752.544    10814.830
274  LG+F          5454.105     28  10964.210    10966.036    11099.231
275  LG+F+I        5299.484     29  10656.969    10658.928    10796.812
276  LG+F+G4       5281.552     29  10621.105    10623.064    10760.949
277  LG+F+I+G4     5279.740     30  10619.480    10621.577    10764.146
278  LG+F+R2       5280.753     30  10621.505    10623.602    10766.171
279  LG+F+R3       5277.698     32  10619.396    10621.782    10773.706
287  DCMut         5570.396     9   11158.793    11158.991    11202.192
288  DCMut+I       5444.929     10  10909.858    10910.101    10958.080
289  DCMut+G4      5436.413     10  10892.826    10893.069    10941.048
290  DCMut+I+G4    5435.999     11  10893.999    10894.290    10947.043
291  DCMut+R2      5437.039     11  10896.077    10896.369    10949.122
292  DCMut+R3      5436.054     13  10898.108    10898.510    10960.796
300  DCMut+F       5424.028     28  10904.056    10905.883    11039.078
301  DCMut+F+I     5291.284     29  10640.567    10642.527    10780.411
302  DCMut+F+G4    5276.845     29  10611.691    10613.650    10751.535
303  DCMut+F+I+G4  5275.684     30  10611.368    10613.465    10756.034
304  DCMut+F+R2    5277.226     30  10614.452    10616.549    10759.118
305  DCMut+F+R3    5274.484     32  10612.968    10615.354    10767.278
313  PMB           5594.616     9   11207.231    11207.430    11250.631
314  PMB+I         5467.758     10  10955.517    10955.759    11003.739
315  PMB+G4        5463.085     10  10946.169    10946.412    10994.391
316  PMB+I+G4      5463.409     11  10948.819    10949.110    11001.863
317  PMB+R2        5463.080     11  10948.161    10948.452    11001.205
318  PMB+R3        5463.053     13  10952.106    10952.508    11014.794
326  PMB+F         5455.391     28  10966.783    10968.609    11101.804
327  PMB+F+I       5328.634     29  10715.268    10717.227    10855.112
328  PMB+F+G4      5321.698     29  10701.397    10703.356    10841.240
329  PMB+F+I+G4    5321.512     30  10703.024    10705.121    10847.690
330  PMB+F+R2      5321.793     30  10703.585    10705.682    10848.251
331  PMB+F+R3      5321.260     32  10706.520    10708.907    10860.831
339  HIVb          5736.927     9   11491.853    11492.051    11535.253
340  HIVb+I        5498.694     10  11017.387    11017.630    11065.609
341  HIVb+G4       5462.026     10  10944.051    10944.294    10992.273
342  HIVb+I+G4     5457.565     11  10937.130    10937.422    10990.174
343  HIVb+R2       5460.628     11  10943.257    10943.548    10996.301
344  HIVb+R3       5454.942     13  10935.885    10936.287    10998.573
352  HIVb+F        5632.436     28  11320.872    11322.698    11455.893
353  HIVb+F+I      5401.103     29  10860.207    10862.166    11000.051
354  HIVb+F+G4     5357.607     29  10773.214    10775.173    10913.057
355  HIVb+F+I+G4   5352.575     30  10765.150    10767.247    10909.816
356  HIVb+F+R2     5354.834     30  10769.667    10771.764    10914.333
357  HIVb+F+R3     5347.827     32  10759.654    10762.041    10913.964
358  HIVb+F+R4     5347.553     34  10763.105    10765.801    10927.060
365  HIVw          5841.008     9   11700.016    11700.214    11743.416
366  HIVw+I        5598.518     10  11217.036    11217.279    11265.258
367  HIVw+G4       5560.279     10  11140.559    11140.802    11188.781
368  HIVw+I+G4     5553.192     11  11128.384    11128.675    11181.428
369  HIVw+R2       5560.220     11  11142.441    11142.732    11195.485
370  HIVw+R3       5548.169     13  11122.338    11122.741    11185.027
371  HIVw+R4       5548.158     15  11126.317    11126.849    11198.650
378  HIVw+F        5718.885     28  11493.771    11495.598    11628.792
379  HIVw+F+I      5477.208     29  11012.416    11014.375    11152.260
380  HIVw+F+G4     5434.050     29  10926.100    10928.059    11065.944
381  HIVw+F+I+G4   5427.127     30  10914.255    10916.352    11058.920
382  HIVw+F+R2     5431.882     30  10923.764    10925.861    11068.430
383  HIVw+F+R3     5421.738     32  10907.476    10909.862    11061.786
384  HIVw+F+R4     5421.699     34  10911.399    10914.094    11075.353
391  JTTDCMut      5561.352     9   11140.704    11140.902    11184.104
392  JTTDCMut+I    5412.650     10  10845.301    10845.543    10893.523
393  JTTDCMut+G4   5400.090     10  10820.181    10820.423    10868.403
394  JTTDCMut+I+G4 5398.840     11  10819.679    10819.971    10872.724
395  JTTDCMut+R2   5400.163     11  10822.326    10822.617    10875.370
396  JTTDCMut+R3   5397.975     13  10821.951    10822.354    10884.639
404  JTTDCMut+F    5463.271     28  10982.543    10984.370    11117.564
405  JTTDCMut+F+I  5314.143     29  10686.285    10688.245    10826.129
406  JTTDCMut+F+G4 5296.774     29  10651.548    10653.508    10791.392
407  JTTDCMut+F+I+G4 5295.143     30  10650.286    10652.383    10794.952
408  JTTDCMut+F+R2 5295.907     30  10651.814    10653.911    10796.480
409  JTTDCMut+F+R3 5293.203     32  10650.406    10652.793    10804.716
417  FLU           5665.718     9   11349.437    11349.635    11392.836
418  FLU+I         5457.197     10  10934.394    10934.636    10982.616
419  FLU+G4        5427.552     10  10875.103    10875.346    10923.325
420  FLU+I+G4      5423.816     11  10869.631    10869.922    10922.675
421  FLU+R2        5426.382     11  10874.764    10875.055    10927.808
422  FLU+R3        5422.054     13  10870.109    10870.511    10932.797
430  FLU+F         5598.174     28  11252.349    11254.176    11387.370
431  FLU+F+I       5379.776     29  10817.553    10819.512    10957.396
432  FLU+F+G4      5341.186     29  10740.373    10742.332    10880.217
433  FLU+F+I+G4    5337.134     30  10734.269    10736.366    10878.935
434  FLU+F+R2      5338.683     30  10737.365    10739.462    10882.031
435  FLU+F+R3      5334.479     32  10732.958    10735.344    10887.268
443  Blosum62      5568.185     9   11154.371    11154.569    11197.770
444  Blosum62+I    5436.390     10  10892.780    10893.022    10941.002
445  Blosum62+G4   5430.309     10  10880.619    10880.862    10928.841
446  Blosum62+I+G4 5430.472     11  10882.945    10883.236    10935.989
447  Blosum62+R2   5430.384     11  10882.767    10883.058    10935.811
448  Blosum62+R3   5430.215     13  10886.430    10886.833    10949.119
456  Blosum62+F    5461.544     28  10979.087    10980.914    11114.109
457  Blosum62+F+I  5330.672     29  10719.343    10721.303    10859.187
458  Blosum62+F+G4 5322.797     29  10703.594    10705.554    10843.438
459  Blosum62+F+I+G4 5322.522     30  10705.045    10707.142    10849.711
460  Blosum62+F+R2 5322.874     30  10705.748    10707.845    10850.414
461  Blosum62+F+R3 5322.453     32  10708.905    10711.292    10863.216
469  mtMet         5963.530     9   11945.060    11945.259    11988.460
470  mtMet+I       5754.329     10  11528.657    11528.900    11576.879
471  mtMet+G4      5708.333     10  11436.665    11436.908    11484.887
472  mtMet+I+G4    5708.987     11  11439.973    11440.265    11493.018
473  mtMet+R2      5707.897     11  11437.794    11438.085    11490.838
474  mtMet+R3      5706.871     13  11439.743    11440.146    11502.432
482  mtMet+F       5527.232     28  11110.465    11112.292    11245.486
483  mtMet+F+I     5353.168     29  10764.336    10766.296    10904.180
484  mtMet+F+G4    5321.688     29  10701.377    10703.336    10841.220
485  mtMet+F+I+G4  5320.058     30  10700.116    10702.213    10844.782
486  mtMet+F+R2    5319.772     30  10699.544    10701.641    10844.210
487  mtMet+F+R3    5317.503     32  10699.006    10701.392    10853.316
495  mtVer         6084.777     9   12187.554    12187.752    12230.954
496  mtVer+I       5849.376     10  11718.751    11718.994    11766.973
497  mtVer+G4      5780.906     10  11581.812    11582.055    11630.034
498  mtVer+I+G4    5780.812     11  11583.624    11583.916    11636.669
499  mtVer+R2      5779.134     11  11580.269    11580.560    11633.313
500  mtVer+R3      5777.228     13  11580.456    11580.859    11643.145
508  mtVer+F       5614.918     28  11285.835    11287.662    11420.857
509  mtVer+F+I     5414.899     29  10887.797    10889.757    11027.641
510  mtVer+F+G4    5366.877     29  10791.753    10793.712    10931.597
511  mtVer+F+I+G4  5363.593     30  10787.187    10789.284    10931.853
512  mtVer+F+R2    5363.647     30  10787.293    10789.390    10931.959
513  mtVer+F+R3    5358.323     32  10780.646    10783.032    10934.956
521  mtInv         5955.196     9   11928.393    11928.591    11971.793
522  mtInv+I       5764.132     10  11548.264    11548.506    11596.486
523  mtInv+G4      5732.000     10  11484.000    11484.243    11532.222
524  mtInv+I+G4    5732.477     11  11486.955    11487.246    11539.999
525  mtInv+R2      5731.017     11  11484.035    11484.326    11537.079
526  mtInv+R3      5731.009     13  11488.018    11488.421    11550.706
534  mtInv+F       5477.050     28  11010.100    11011.926    11145.121
535  mtInv+F+I     5324.863     29  10707.727    10709.686    10847.571
536  mtInv+F+G4    5302.913     29  10663.825    10665.785    10803.669
537  mtInv+F+I+G4  5301.525     30  10663.050    10665.147    10807.716
538  mtInv+F+R2    5301.708     30  10663.415    10665.512    10808.081
539  mtInv+F+R3    5301.705     32  10667.409    10669.796    10821.719
Akaike Information Criterion:           Dayhoff+F+I+G4
Corrected Akaike Information Criterion: Dayhoff+F+I+G4
Bayesian Information Criterion:         Dayhoff+F+G4
Best-fit model: Dayhoff+F+G4 chosen according to BIC

All model information printed to genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa.model.gz
CPU time for ModelFinder: 10.435 seconds (0h:0m:10s)
Wall-clock time for ModelFinder: 12.958 seconds (0h:0m:12s)

NOTE: 1 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -5322.816
2. Current log-likelihood: -5278.826
3. Current log-likelihood: -5276.760
Optimal log-likelihood: -5276.755
Gamma shape alpha: 0.301
Parameters optimization took 3 rounds (0.056 sec)
Computing ML distances based on estimated model parameters... 0.006 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -5276.755
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 99 parsimony trees... 0.029 second
Computing log-likelihood of 10 initial trees ... 0.076 seconds
Current best score: -5276.755

Do NNI search on 11 best initial trees
Iteration 10 / LogL: -5276.792 / Time: 0h:0m:0s
Finish initializing candidate tree set (11)
Current best tree score: -5276.755 / CPU time: 0.464
Number of iterations: 11
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 20 / LogL: -5276.763 / Time: 0h:0m:1s
Iteration 30 / LogL: -5276.790 / Time: 0h:0m:1s (0h:0m:3s left)
UPDATE BEST LOG-LIKELIHOOD: -5276.755
Iteration 40 / LogL: -5276.775 / Time: 0h:0m:1s (0h:0m:2s left)
Iteration 50 / LogL: -5276.765 / Time: 0h:0m:2s (0h:0m:2s left)
UPDATE BEST LOG-LIKELIHOOD: -5276.755
UPDATE BEST LOG-LIKELIHOOD: -5276.755
Iteration 60 / LogL: -5276.790 / Time: 0h:0m:2s (0h:0m:1s left)
Iteration 70 / LogL: -5276.758 / Time: 0h:0m:2s (0h:0m:1s left)
UPDATE BEST LOG-LIKELIHOOD: -5276.755
Iteration 80 / LogL: -5276.820 / Time: 0h:0m:3s (0h:0m:0s left)
Iteration 90 / LogL: -5276.757 / Time: 0h:0m:3s (0h:0m:0s left)
UPDATE BEST LOG-LIKELIHOOD: -5276.755
Iteration 100 / LogL: -5276.769 / Time: 0h:0m:3s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 101 ITERATIONS / Time: 0h:0m:4s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -5276.755
Optimal log-likelihood: -5276.755
Gamma shape alpha: 0.301
Parameters optimization took 1 rounds (0.027 sec)
BEST SCORE FOUND : -5276.755
Total tree length: 0.950

Total number of iterations: 101
CPU time used for tree search: 3.774 sec (0h:0m:3s)
Wall-clock time used for tree search: 3.903 sec (0h:0m:3s)
Total CPU time used: 3.887 sec (0h:0m:3s)
Total wall-clock time used: 4.029 sec (0h:0m:4s)

Analysis results written to: 
  IQ-TREE report:                genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa.iqtree
  Maximum-likelihood tree:       genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa.treefile
  Likelihood distances:          genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa.mldist
  Screen log file:               genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa.log

Date and Time: Sun Jan 15 12:11:12 2023
