Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Mohr_1_1_Ctrl Spectral Count	Mohr_1_2_Ctrl Spectral Count	Mohr_1_3_Ctrl Spectral Count	Mohr_2_1_CBN375 Spectral Count	Mohr_2_2_CBN375 Spectral Count	Mohr_2_3_CBN375 Spectral Count	Mohr_3_1_CBN550 Spectral Count	Mohr_3_2_CBN550 Spectral Count	Mohr_3_3_CBN550 Spectral Count	Mohr_4_1_CBN772 Spectral Count	Mohr_4_2_CBN772 Spectral Count	Mohr_4_3_CBN772 Spectral Count	Mohr_5_1_ASHRAE Spectral Count	Mohr_5_2_ASHRAE Spectral Count	Mohr_5_3_ASHRAE Spectral Count	Mohr_6_1_A2FINE Spectral Count	Mohr_6_2_A2FINE Spectral Count	Mohr_6_3_A2FINE Spectral Count	Mohr_1_1_Ctrl Intensity	Mohr_1_2_Ctrl Intensity	Mohr_1_3_Ctrl Intensity	Mohr_2_1_CBN375 Intensity	Mohr_2_2_CBN375 Intensity	Mohr_2_3_CBN375 Intensity	Mohr_3_1_CBN550 Intensity	Mohr_3_2_CBN550 Intensity	Mohr_3_3_CBN550 Intensity	Mohr_4_1_CBN772 Intensity	Mohr_4_2_CBN772 Intensity	Mohr_4_3_CBN772 Intensity	Mohr_5_1_ASHRAE Intensity	Mohr_5_2_ASHRAE Intensity	Mohr_5_3_ASHRAE Intensity	Mohr_6_1_A2FINE Intensity	Mohr_6_2_A2FINE Intensity	Mohr_6_3_A2FINE Intensity	Indistinguishable Proteins
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Agrin 	1.0000	0.9990	29	207	207	207	12	9	8	17	13	12	5	5	7	16	14	19	17	17	19	5	4	8	2992123	1265812	1381405	3828271	5064200	1899696	6092186	2935793	3635741	2984597	5729933	4386417	6894444	2155490	5479165	2020871	1635319	2010233		
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Myc box-dependent-interacting protein 1 	1.0000	0.9990	4	45	45	45	3	2	3	3	3	3	2	3	2	3	2	2	2	3	3	2	2	2	1341209	986734	980773	2265888	1420320	924632	3707688	2281517	2210818	2211399	1495369	852310	1763082	1155266	1040605	1430606	991087	1870382		
sp|O00622|CCN1_HUMAN	O00622	CCN1_HUMAN	CCN1	381	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	CCN family member 1 	1.0000	0.9990	6	50	50	50	3	5	3	4	3	5	0	0	0	4	3	3	4	5	4	1	1	2	2518813	1440335	1489569	4505742	1894042	1869786	     0	     0	     0	4168955	2634947	1365845	1771447	2189847	2725326	928502	635222	1921356		
sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Acyl carrier protein, mitochondrial 	1.0000	0.9990	3	24	24	24	1	3	2	1	1	1	1	1	1	2	1	0	2	1	2	1	1	2	909148	729256	599751	715562	449566	493029	1363881	506969	671089	1087682	493713	     0	1158498	356921	1105185	151011	121374	410016		
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Coatomer subunit epsilon 	1.0000	0.9990	2	5	5	5	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	153855	     0	     0	     0	     0	     0	180735	149206	     0	     0	     0	     0	145673	     0	     0	     0	     0	     0		
sp|O14602|IF1AY_HUMAN	O14602	IF1AY_HUMAN	EIF1AY	144	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 1A, Y-chromosomal 	1.0000	0.9990	2	24	0	24	2	2	2	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1478687	659610	599117	167846	164098	189944	3625670	1399866	1462323	1221111	1438141	210073	186643	241256	575546	1243470	1153228	656511	sp|P47813|IF1AX_HUMAN	
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Programmed cell death protein 5 	1.0000	0.9990	4	46	46	46	5	3	4	3	4	3	0	0	0	4	3	4	4	4	3	1	0	1	2904239	2336030	2742786	2723287	2899363	1997264	     0	     0	     0	3613350	3193394	2946406	3427117	2922806	3302335	704754	     0	731716		
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-7 	1.0000	0.9990	11	147	74	147	8	9	7	10	11	8	7	5	4	9	11	10	12	10	13	4	4	5	4856754	2565306	2790395	7389802	6388564	2861276	10820567	5636003	5124126	8148340	8097277	5427900	7470596	5113259	5188607	6096104	5185229	6270932		
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Myosin regulatory light chain 12B 	1.0000	0.9990	6	23	0	23	1	0	0	1	3	1	2	2	2	1	1	1	3	2	0	1	1	1	336951	     0	     0	134696	1067836	     0	2402514	1153793	1105331	535794	     0	381652	963305	479058	     0	850771	560137	597738	sp|P19105|ML12A_HUMAN	
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Protein phosphatase 1 regulatory subunit 12A 	1.0000	0.9979	3	5	5	5	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	384368	179896	195303	     0	     0	     0	841668	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0		
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Exportin-1 	1.0000	0.9990	3	6	6	6	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	     0	     0	     0	     0	     0	     0	483332	     0	277735	144780	228492	181986	     0	     0	     0	     0	     0	     0		
sp|O15217|GSTA4_HUMAN	O15217	GSTA4_HUMAN	GSTA4	222	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Glutathione S-transferase A4 	1.0000	0.9990	5	68	68	68	5	5	6	5	6	3	1	1	2	5	3	4	7	4	6	1	2	2	3436706	1926804	2436110	4581491	3934284	1099802	3773253	2141584	4655608	4744584	4956101	3080930	5902974	2927331	3956456	2552300	4118755	6610663		
sp|O15230|LAMA5_HUMAN	O15230	LAMA5_HUMAN	LAMA5	3695	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Laminin subunit alpha-5 	1.0000	0.9990	15	56	56	56	2	1	0	8	6	2	1	1	1	6	8	5	7	3	5	0	0	0	329041	151402	     0	845111	1114028	367598	345926	223617	224390	1177076	1136254	591746	1020049	693090	543553	     0	     0	     0		
sp|O15240|VGF_HUMAN	O15240	VGF_HUMAN	VGF	615	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Neurosecretory protein VGF 	1.0000	0.9990	4	41	41	41	2	2	2	2	2	3	2	3	2	3	3	3	2	2	2	2	2	2	1037333	565943	531804	1911404	1358532	686393	916530	961608	493247	2986304	2601209	1001700	1405618	797656	659490	953377	1556259	1991140		
sp|O15347|HMGB3_HUMAN	O15347	HMGB3_HUMAN	HMGB3	200	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	High mobility group protein B3 	1.0000	0.9990	2	20	20	20	1	1	2	1	2	2	1	1	1	1	2	2	1	1	1	0	0	0	335145	500475	979098	1184288	1509811	876773	869301	599289	873652	623644	1430598	1202585	905161	476564	620321	     0	     0	     0		
sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Protein phosphatase 1G 	1.0000	0.9990	2	16	16	16	2	3	2	1	1	0	0	0	0	1	2	0	1	1	2	0	0	0	530750	430852	466151	245555	272158	     0	     0	     0	     0	298723	312089	     0	248223	361629	201521	     0	     0	     0		
sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Syntaxin-7 	1.0000	0.9990	2	18	18	18	2	1	2	2	2	1	0	0	0	1	2	1	1	1	1	0	0	1	4250065	255949	2495780	6587337	4094496	288502	     0	     0	     0	628858	1191713	407396	572905	453935	292409	     0	     0	814800		
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	D-3-phosphoglycerate dehydrogenase 	1.0000	0.9990	3	8	8	8	1	0	0	1	1	0	0	0	0	1	1	2	0	0	1	0	0	0	278395	     0	     0	194205	178420	     0	     0	     0	     0	215550	213204	529029	     0	     0	287307	     0	     0	     0		
sp|O43251|RFOX2_HUMAN	O43251	RFOX2_HUMAN	RBFOX2	390	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	RNA binding protein fox-1 homolog 2 	1.0000	0.9990	2	7	0	7	0	0	0	0	0	1	1	0	1	1	0	1	0	0	2	0	0	0	     0	     0	     0	     0	     0	258621	134969	     0	152509	419192	     0	231921	     0	     0	431904	     0	     0	     0	sp|Q9NWB1|RFOX1_HUMAN	
sp|O43278|SPIT1_HUMAN	O43278	SPIT1_HUMAN	SPINT1	529	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Kunitz-type protease inhibitor 1 	1.0000	0.9985	2	10	10	10	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	0	0	1	279241	     0	189900	560332	     0	189406	501565	     0	     0	360823	     0	     0	241322	156922	180322	     0	     0	231851		
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein R 	1.0000	0.9990	5	5	5	10	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	308292	     0	     0	234217	     0	     0	     0	     0	     0	205700	     0	454775	188282	643738	1286344	     0	123742	     0		
sp|O43396|TXNL1_HUMAN	O43396	TXNL1_HUMAN	TXNL1	289	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Thioredoxin-like protein 1 	1.0000	0.9990	10	120	120	120	8	9	11	7	6	8	5	3	2	7	8	6	8	10	6	4	6	6	4460147	2420504	2505611	4557846	2830746	2238073	6726055	5155447	597639	5606062	4213244	2864568	5406162	3363390	3287138	3417440	2586026	2674705		
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tumor protein D54 	1.0000	0.9990	4	27	27	27	3	0	0	3	1	3	1	1	1	3	1	2	1	2	2	1	1	1	4452264	     0	     0	1307200	     0	839000	717120	360862	412256	1953566	277117	492543	328277	630686	15366145	571027	500939	652477		
sp|O43505|B4GA1_HUMAN	O43505	B4GA1_HUMAN	B4GAT1	415	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Beta-1,4-glucuronyltransferase 1 	1.0000	0.9990	3	15	15	15	0	0	0	1	1	2	0	0	0	1	2	2	1	3	2	0	0	0	     0	     0	     0	313262	222771	250347	     0	     0	     0	194314	1774183	336390	1999846	2179154	2655930	     0	     0	     0		
sp|O43583|DENR_HUMAN	O43583	DENR_HUMAN	DENR	198	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Density-regulated protein 	1.0000	0.9990	4	36	36	36	3	2	2	2	2	1	2	2	3	4	1	2	2	2	1	2	1	2	1194232	2272208	2354269	876653	1167644	708435	3217417	1839721	2224595	3255371	905138	2158227	1649124	2259967	1294603	1699612	778654	1330651		
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Alpha-actinin-4 	1.0000	0.9990	51	583	289	583	35	36	34	44	42	37	14	10	13	44	50	49	42	44	45	14	16	14	10505792	5070818	14870308	13660003	14053292	7943177	14552709	6861075	8307234	17909014	19873790	10283239	11699061	8134774	18195184	8217769	5540388	7583722		
sp|O43765|SGTA_HUMAN	O43765	SGTA_HUMAN	SGTA	313	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Small glutamine-rich tetratricopeptide repeat-containing protein alpha 	1.0000	0.9990	4	37	37	37	3	3	1	3	2	4	1	1	0	2	3	3	2	3	2	2	1	1	1072570	1020312	172363	2055388	628225	626063	515197	279194	     0	821160	2289384	859940	727888	670848	783568	597164	391172	405737		
sp|O43809|CPSF5_HUMAN	O43809	CPSF5_HUMAN	NUDT21	227	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Cleavage and polyadenylation specificity factor subunit 5 	1.0000	0.9990	3	4	4	4	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	     0	     0	     0	     0	220843	     0	     0	     0	     0	382109	     0	314506	481822	     0	     0	     0	     0	     0		
sp|O43852|CALU_HUMAN	O43852	CALU_HUMAN	CALU	315	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Calumenin 	1.0000	0.9990	18	185	185	185	12	16	15	8	10	12	8	7	6	13	12	10	12	12	12	8	7	5	3960819	1900971	2473949	3290067	2861173	1555630	5075200	6064642	4042607	4245238	2497198	1431716	3873738	1852224	1395699	4530015	3911921	1930784		
sp|O60218|AK1BA_HUMAN	O60218	AK1BA_HUMAN	AKR1B10	316	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Aldo-keto reductase family 1 member B10 	1.0000	0.9988	3	28	13	28	3	1	2	2	2	2	0	0	0	3	4	2	3	2	2	0	0	0	7411488	1744842	2812196	7413772	6055462	2605168	     0	     0	     0	9166709	9305313	4024814	9920664	4833128	5491996	     0	     0	     0		
sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein Q 	1.0000	0.9990	6	43	38	43	4	2	3	3	2	3	0	0	0	3	1	3	3	5	6	1	2	2	873137	463193	1044762	1056452	855053	863219	     0	     0	     0	1204253	561504	1187450	1148770	1252488	1865692	242073	361052	466686		
sp|O60763|USO1_HUMAN	O60763	USO1_HUMAN	USO1	962	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	General vesicular transport factor p115 	1.0000	0.9990	3	35	35	35	2	2	2	3	2	3	0	0	0	3	3	4	3	3	5	0	0	0	1498041	1290444	957876	3122264	2173675	994075	     0	     0	     0	2490254	2435410	1822158	2100607	1680322	2103346	     0	     0	     0		
sp|O60784|TOM1_HUMAN	O60784	TOM1_HUMAN	TOM1	492	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Target of Myb protein 1 	1.0000	0.9990	2	19	19	19	1	1	2	2	2	2	0	0	0	1	1	1	2	2	1	0	1	0	394654	200562	405354	758445	766362	429272	     0	     0	     0	540463	533552	333967	996489	510142	395895	     0	312933	     0		
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Histone H2B type 1-K 	1.0000	0.9990	3	41	0	41	5	2	1	2	4	3	1	2	2	3	3	3	2	2	3	1	1	1	3708894	2679195	108830	2775387	4825356	2696582	10223164	6531743	7191879	5993080	6205790	3704671	5229233	3962554	4792916	4649045	3346166	4666832	sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN	
sp|O60869|EDF1_HUMAN	O60869	EDF1_HUMAN	EDF1	148	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Endothelial differentiation-related factor 1 	1.0000	0.9990	3	19	19	19	0	1	0	1	0	0	2	2	1	0	0	1	0	2	1	2	3	3	     0	418730	     0	451145	     0	     0	227384	164041	170321	     0	     0	392086	     0	675503	364707	862632	618357	987950		
sp|O60888|CUTA_HUMAN	O60888	CUTA_HUMAN	CUTA	179	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Protein CutA 	1.0000	0.9990	3	29	29	29	2	2	2	2	1	1	2	2	2	2	1	2	0	1	1	2	2	2	2948468	2569414	2758383	3881567	2522579	2221184	4803903	3769115	3799956	3834269	3370062	3932051	     0	3155215	2509991	3533946	3218266	3321891		
sp|O60911|CATL2_HUMAN	O60911	CATL2_HUMAN	CTSV	334	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Cathepsin L2 	1.0000	0.9990	10	89	84	89	9	6	10	6	5	7	4	4	4	4	4	0	5	4	6	4	4	3	4214066	1977742	2928910	3885369	2487550	2086130	3993047	2452993	2273034	2997603	2380215	     0	3394941	2150799	2641303	3106762	2873678	2912636		
sp|O60936|NOL3_HUMAN	O60936	NOL3_HUMAN	NOL3	208	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Nucleolar protein 3 	1.0000	0.9990	2	16	16	16	0	1	1	2	2	1	0	0	0	1	2	1	3	1	1	0	0	0	     0	151457	102786	472856	493412	143415	     0	     0	     0	304353	649553	171825	1173989	295576	226307	     0	     0	     0		
sp|O75083|WDR1_HUMAN	O75083	WDR1_HUMAN	WDR1	606	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 1 	1.0000	0.9990	7	39	39	39	1	2	4	2	2	4	0	0	0	5	4	5	2	3	5	0	0	0	284987	398491	790148	923691	802686	734694	     0	     0	     0	1329998	802425	1082981	901895	1067889	1327891	     0	     0	     0		
sp|O75340|PDCD6_HUMAN	O75340	PDCD6_HUMAN	PDCD6	191	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Programmed cell death protein 6 	1.0000	0.9990	3	3	3	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	     0	     0	     0	     0	700135	     0	     0	     0	     0	     0	1501846	     0	     0	     0	     0	     0	     0	     0		
sp|O75347|TBCA_HUMAN	O75347	TBCA_HUMAN	TBCA	108	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Tubulin-specific chaperone A 	1.0000	0.9990	11	136	136	136	9	11	8	8	6	7	5	6	8	10	8	9	9	7	11	5	5	4	13400430	7568995	8124863	13394535	12928250	5749160	26972705	8863312	12115209	13272383	15517900	8614860	14891102	5190371	8723208	8563724	7173688	7275424		
sp|O75348|VATG1_HUMAN	O75348	VATG1_HUMAN	ATP6V1G1	118	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	V-type proton ATPase subunit G 1 	1.0000	0.9990	1	27	0	27	2	2	3	2	2	2	0	0	0	2	3	2	2	2	3	0	0	0	2002531	1192563	1450369	1746312	1672807	1115413	     0	     0	     0	1440715	1106171	1234555	2242506	1386028	1342592	     0	     0	     0	sp|O95670|VATG2_HUMAN	
sp|O75368|SH3L1_HUMAN	O75368	SH3L1_HUMAN	SH3BGRL	114	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	SH3 domain-binding glutamic acid-rich-like protein 	1.0000	0.9990	6	71	71	71	7	3	4	7	5	5	0	0	0	6	7	5	7	8	7	0	0	0	2980517	1618476	2144347	3094713	2723072	1958026	     0	     0	     0	4027820	2972004	2232267	4592468	2684658	2947618	     0	     0	     0		
sp|O75369|FLNB_HUMAN	O75369	FLNB_HUMAN	FLNB	2602	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Filamin-B 	1.0000	0.9990	42	178	165	202	7	5	8	18	16	14	4	3	2	20	19	19	14	12	12	2	2	1	1224616	920566	1213331	2638323	2196162	2423324	14976318	2146024	593998	8489570	2689634	6602980	2708398	6057171	1710732	912560	703496	711589		
sp|O75390|CISY_HUMAN	O75390	CISY_HUMAN	CS	466	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Citrate synthase, mitochondrial 	1.0000	0.9990	3	17	17	17	1	0	0	2	1	2	1	0	0	1	2	2	2	1	2	0	0	0	     0	     0	     0	433016	356606	217486	1428969	     0	     0	411404	269092	318931	441409	431088	545425	     0	     0	     0		
sp|O75475|PSIP1_HUMAN	O75475	PSIP1_HUMAN	PSIP1	530	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	PC4 and SFRS1-interacting protein 	1.0000	0.9990	3	4	4	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	4322058	     0	2556764	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	343232	248159	562971	     0	     0		
sp|O75608|LYPA1_HUMAN	O75608	LYPA1_HUMAN	LYPLA1	230	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Acyl-protein thioesterase 1 	1.0000	0.9990	2	11	11	11	0	1	0	2	1	1	0	0	0	2	0	1	2	0	1	0	0	0	     0	6623522	     0	19693250	10713240	8474088	     0	     0	     0	19565596	     0	10596129	16705905	     0	14447373	     0	     0	     0		
sp|O75821|EIF3G_HUMAN	O75821	EIF3G_HUMAN	EIF3G	320	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit G 	1.0000	0.9990	3	9	9	9	0	0	1	0	0	0	1	0	0	0	2	1	1	1	2	0	0	0	     0	     0	296843	     0	     0	     0	     0	     0	     0	     0	591620	296960	570666	356094	707374	     0	     0	     0		
